LATITUDE,LONGITUDE,FIRE_YEAR,FIRE_SIZE,STATE
33.83666667,-109.3608333,2005,0.1,AZ
35.63833333,-118.2811111,2005,0.3,CA
47.94027778,-91.85166667,2005,0.2,MN
38.89111111,-105.4319444,2005,2.5,CO
47.89833333,-91.86861111,2005,0.1,MN
35.64694444,-118.4636111,2005,0.25,CA
47.89805556,-91.87111111,2005,0.1,MN
34.54166667,-110.9025,2005,7.2,AZ
35.66305556,-118.4436111,2005,0.25,CA
35.70222222,-118.4536111,2005,1.1,CA
38.65861111,-119.7513889,2005,0.25,CA
47.91805556,-91.90194444,2005,0.25,MN
35.67861111,-118.4094444,2005,0.1,CA
34.53055556,-111.0127778,2005,8.7,AZ
33.70861111,-109.4736111,2005,0.1,AZ
35.64972222,-118.4163889,2005,0.25,CA
38.67055556,-119.7672222,2005,0.1,CA
35.695,-118.4602778,2005,0.1,CA
33.71444444,-109.4394444,2005,0.1,AZ
35.64138889,-118.3366667,2005,2.5,CA
33.81555556,-109.3213889,2005,0.1,AZ
38.35,-119.35,2005,0.1,CA
38.29888889,-119.5652778,2005,0.1,CA
35.68166667,-118.4588889,2005,2.1,CA
38.05444444,-119.2519444,2005,0.1,CA
33.66,-109.355,2005,0.1,AZ
35.45805556,-118.7830556,2005,0.1,CA
38.57361111,-119.5547222,2005,89,CA
33.63361111,-109.47,2005,0.1,AZ
35.46444444,-118.7563889,2005,0.1,CA
38.35111111,-119.3272222,2005,0.1,CA
38.35027778,-119.3308333,2005,0.1,CA
38.34444444,-119.3333333,2005,0.1,CA
38.65555556,-119.3888889,2005,0.1,NV
39.11583333,-119.8875,2005,0.1,NV
39.22027778,-119.8497222,2005,0.25,NV
39.11055556,-119.8597222,2005,0.5,NV
47.54277778,-94.59638889,2005,0.23,MN
47.54138889,-94.57361111,2005,1.06,MN
47.59888889,-94.53916667,2005,0.37,MN
47.53527778,-94.50027778,2005,0.24,MN
47.5625,-94.64833333,2005,1.2,MN
38.1975,-118.7302778,2005,0.1,NV
38.17333333,-118.7138889,2005,0.1,NV
33.76555556,-109.175,2005,0.1,AZ
34.45555556,-110.7580556,2005,6,AZ
38.64444444,-119.4472222,2005,0.1,NV
33.81861111,-109.2983333,2005,0.1,AZ
38.64444444,-119.4472222,2005,0.1,NV
34.20055556,-110.04,2005,0.5,AZ
38.65555556,-119.3938889,2005,0.25,NV
33.72777778,-109.3547222,2005,0.75,AZ
34.49833333,-110.6344444,2005,0.1,AZ
47.3175,-93.93388889,2005,3.1,MN
34.40916667,-111.0088889,2005,0.1,AZ
34.21111111,-109.9277778,2005,0.1,AZ
34.00111111,-109.2547222,2005,0.4,AZ
47.35444444,-94.17194444,2005,1.03,MN
34.31777778,-110.1691667,2005,0.1,AZ
34.15083333,-109.91,2005,0.2,AZ
47.35444444,-94.17222222,2005,0.41,MN
34.55888889,-110.9669444,2005,0.5,AZ
47.32638889,-93.93694444,2005,0.25,MN
34.45,-110.75,2005,3.8,AZ
47.25305556,-93.91027778,2005,1.5,MN
34.10416667,-109.4952778,2005,0.8,AZ
47.48166667,-93.67138889,2005,12,MN
34.16166667,-109.9391667,2005,0.2,AZ
33.83388889,-109.385,2005,0.1,AZ
34.16416667,-109.9286111,2005,0.25,AZ
34.33583333,-110.835,2005,0.8,AZ
47.54972222,-93.97694444,2005,0.1,MN
39.61472222,-119.9972222,2005,0.5,CA
47.55472222,-93.98472222,2005,0.1,MN
34.21166667,-110.0847222,2005,2,AZ
34.08694444,-109.5333333,2005,0.1,AZ
33.82888889,-109.4633333,2005,0.1,AZ
34.40944444,-111.0083333,2005,0.3,AZ
34.41444444,-111.0097222,2005,0.1,AZ
34.40138889,-110.9961111,2005,0.1,AZ
34.20805556,-110.0755556,2005,0.1,AZ
33.78611111,-96.15,2005,3,TX
31.3125,-94.27083333,2005,55,TX
33.34583333,-97.59583333,2005,2,TX
31.38666667,-95.15055556,2005,0.3,TX
31.35416667,-95.08527778,2005,55,TX
43.56,-111.1291667,2005,0.1,ID
31.15444444,-93.62388889,2005,2,TX
31.15888889,-93.62083333,2005,1,TX
33.91944444,-109.4127778,2005,0.1,AZ
31.15972222,-93.61888889,2005,0.8,TX
31.14583333,-93.61527778,2005,5,TX
31.16305556,-93.61694444,2005,0.1,TX
33.86305556,-109.4180556,2005,0.1,AZ
31.16416667,-93.61527778,2005,0.5,TX
34.38638889,-111.0183333,2005,0.1,AZ
33.92,-109.4125,2005,0.1,AZ
