OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,Shape
783,795,FS-1420577,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,114,Kootenai National Forest,87,40,BEW1,KLATAWA,,,,,,2005,2453593.5,223,930,1,Lightning,2453594.5,224,1130,5,B,48.28722222,-115.7075,5,USFS,MT,53,53,Lincoln,b'\x00\x01\xad\x10\x00\x00\xe0z\x14\xaeG\xed\\\xc0\xd8\xca\x9c\xb2\xc3$H@\xe0z\x14\xaeG\xed\\\xc0\xd8\xca\x9c\xb2\xc3$H@|\x01\x00\x00\x00\xe0z\x14\xaeG\xed\\\xc0\xd8\xca\x9c\xb2\xc3$H@\xfe'
784,796,FS-1420578,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,114,Kootenai National Forest,88,41,BEW1,GET-R-DUNN,,,,,,2005,2453593.5,223,945,1,Lightning,2453593.5,223,1700,0.1,A,48.40416667,-115.2647222,5,USFS,MT,53,53,Lincoln,b'\x00\x01\xad\x10\x00\x00([w5\xf1\xd0\\\xc0H\xe4\xc2\xbb\xbb3H@([w5\xf1\xd0\\\xc0H\xe4\xc2\xbb\xbb3H@|\x01\x00\x00\x00([w5\xf1\xd0\\\xc0H\xe4\xc2\xbb\xbb3H@\xfe'
785,797,FS-1420579,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,114,Kootenai National Forest,89,42,BEW1,BRISTOW,,,,,,2005,2453593.5,223,938,1,Lightning,2453594.5,224,800,0.1,A,48.57194444,-115.3227778,5,USFS,MT,53,53,Lincoln,"b'\x00\x01\xad\x10\x00\x00l>""d\xa8\xd4\\\xc0\xf0v\xb4y5IH@l>""d\xa8\xd4\\\xc0\xf0v\xb4y5IH@|\x01\x00\x00\x00l>""d\xa8\xd4\\\xc0\xf0v\xb4y5IH@\xfe'"
786,798,FS-1420580,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,114,Kootenai National Forest,91,43,BEW1,BARRON,,,,,,2005,2453593.5,223,1515,1,Lightning,2453593.5,223,1936,1,B,48.52638889,-115.2858333,5,USFS,MT,53,53,Lincoln,b'\x00\x01\xad\x10\x00\x008\x1d\xe1\x17K\xd2\\\xc0\x98\xc3\r\xb6`CH@8\x1d\xe1\x17K\xd2\\\xc0\x98\xc3\r\xb6`CH@|\x01\x00\x00\x008\x1d\xe1\x17K\xd2\\\xc0\x98\xc3\r\xb6`CH@\xfe'
787,799,FS-1420581,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,114,Kootenai National Forest,92,44,BEW1,5 MILE,,,,,,2005,2453593.5,223,1548,1,Lightning,2453594.5,224,1140,0.1,A,48.52888889,-115.1666667,5,USFS,MT,53,53,Lincoln,b'\x00\x01\xad\x10\x00\x00\xec>\xae\xaa\xaa\xca\\\xc0P\xe2\x92\xa1\xb2CH@\xec>\xae\xaa\xaa\xca\\\xc0P\xe2\x92\xa1\xb2CH@|\x01\x00\x00\x00\xec>\xae\xaa\xaa\xca\\\xc0P\xe2\x92\xa1\xb2CH@\xfe'
788,800,FS-1420582,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,114,Kootenai National Forest,93,23,BEW1,SUBSTATION,,,,,,2005,2453593.5,223,1500,8,Children,2453593.5,223,1700,0.1,A,48.60111111,-115.9955556,5,USFS,MT,53,53,Lincoln,b'\x00\x01\xad\x10\x00\x00@\xe3\xaa.\xb7\xff\\\xc00[w5\xf1LH@@\xe3\xaa.\xb7\xff\\\xc00[w5\xf1LH@|\x01\x00\x00\x00@\xe3\xaa.\xb7\xff\\\xc00[w5\xf1LH@\xfe'
789,801,FS-1420583,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,114,Kootenai National Forest,94,24,BEW1,BRUSHY,,,,,,2005,2453593.5,223,1719,1,Lightning,2453596.5,226,1300,0.1,A,48.19416667,-115.9797222,5,USFS,MT,53,53,Lincoln,b'\x00\x01\xad\x10\x00\x00 \x84\xd3\xc4\xb3\xfe\\\xc0\xd0\xcf\x14t\xda\x18H@ \x84\xd3\xc4\xb3\xfe\\\xc0\xd0\xcf\x14t\xda\x18H@|\x01\x00\x00\x00 \x84\xd3\xc4\xb3\xfe\\\xc0\xd0\xcf\x14t\xda\x18H@\xfe'
790,802,FS-1420584,FED,FS-FIRESTAT,FS,USOROCF,Ochoco National Forest,607,Ochoco National Forest,14,1-010,BE02,398,,,,,,2005,2453573.5,203,814,1,Lightning,2453573.5,203,1630,0.1,A,44.38111111,-120.5652778,5,USFS,OR,31,31,Jefferson,b'\x00\x01\xad\x10\x00\x00X\x90\xda\x82-$^\xc0\xd8\xcb\xb4?\xc80F@X\x90\xda\x82-$^\xc0\xd8\xcb\xb4?\xc80F@|\x01\x00\x00\x00X\x90\xda\x82-$^\xc0\xd8\xcb\xb4?\xc80F@\xfe'
791,803,FS-1420585,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,114,Kootenai National Forest,97,25,BEW1,BEETLE JUICE #2,,,,,,2005,2453593.5,223,1620,1,Lightning,2453594.5,224,1900,0.1,A,48.92194444,-115.8497222,5,USFS,MT,53,53,Lincoln,b'\x00\x01\xad\x10\x00\x00heN\xd9a\xf6\\\xc0\xc0C\x81F\x02vH@heN\xd9a\xf6\\\xc0\xc0C\x81F\x02vH@|\x01\x00\x00\x00heN\xd9a\xf6\\\xc0\xc0C\x81F\x02vH@\xfe'
792,804,FS-1420586,FED,FS-FIRESTAT,FS,USMTKNF,Kootenai National Forest,114,Kootenai National Forest,98,26,BEW1,BALDY,,,,,,2005,2453594.5,224,1630,1,Lightning,2453595.5,225,800,0.3,B,48.82944444,-115.875,5,USFS,MT,53,53,Lincoln,b'\x00\x01\xad\x10\x00\x00\xfc\xff\xff\xff\xff\xf7\\\xc0\x18\xd3C<+jH@\xfc\xff\xff\xff\xff\xf7\\\xc0\x18\xd3C<+jH@|\x01\x00\x00\x00\xfc\xff\xff\xff\xff\xf7\\\xc0\x18\xd3C<+jH@\xfe'
